level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	11	1	19	0	1086	442	40	15	-1	
5	1	11	1	19	1	1086	442	40	15	89.842148	1,563
4	1	11	1	20	0	1099	466	28	13	-1	
5	1	11	1	20	1	1099	466	28	13	94.807449	618
4	1	11	1	21	0	1086	491	41	15	-1	
5	1	11	1	21	1	1086	491	41	15	95.953362	1,586
4	1	11	1	22	0	1071	515	56	15	-1	
5	1	11	1	22	1	1071	515	56	15	96.265465	32,954
2	1	12	0	0	0	1169	5	46	425	-1	
3	1	12	1	0	0	1169	5	46	425	-1	
4	1	12	1	1	0	1186	5	27	13	-1	
5	1	12	1	1	1	1186	5	27	13	72.394775	471
4	1	12	1	2	0	1186	29	29	13	-1	
5	1	12	1	2	1	1186	29	29	13	94.442490	486
4	1	12	1	3	0	1186	53	29	13	-1	
5	1	12	1	3	1	1186	53	29	13	94.442490	486
4	1	12	1	4	0	1186	77	29	13	-1	
5	1	12	1	4	1	1186	77	29	13	94.833710	476
